011116.xml 99733	thank_you 
011116.xml 100512	he will 
011116.xml 100513	same #to you 
011116.xml 100514	no 
011116.xml 100515	do you know what is it Liz 
011116.xml 100516	it 's the wind 
011116.xml 100517	the wind is blowing very very hard 
011116.xml 100518	oh 
011116.xml 100519	oh 
011116.xml 100520	ow 
011116.xml 100521	that #hurts that 
011116.xml 100522	tin tin tin 
011116.xml 100523	oh 
011116.xml 100524	oh 
011116.xml 100525	that hurts when you do #that 
011116.xml 100526	did you know #that 
011116.xml 100527	oh 
011116.xml 100528	oh we got #stuck a minute then did n't we 
011116.xml 100529	are you being a baby are you 
011116.xml 100530	oh dear 
011116.xml 100531	now the chair 's fallen down 
011116.xml 100532	fell over did it 
011116.xml 100533	I do n't know where the table is love 
011116.xml 100534	is it oh I saw it 
011116.xml 100535	oh there it is 
011116.xml 100536	look 
011116.xml 100537	by the fire 
011116.xml 100538	Liz 
011116.xml 100539	Liz 
011116.xml 100540	over here 
011116.xml 100541	can you see it 
011116.xml 100542	are you gon na going to do them some tea 
011116.xml 100543	www 
011116.xml 100544	come here 
011116.xml 100545	Spot 
011116.xml 100546	Spot 
011116.xml 100547	come here 
011116.xml 100548	Liz 
011116.xml 100549	oh she 's coming 
011116.xml 100550	#that 's Liz that 
011116.xml 100551	oh what 've you got there 
011116.xml 100552	what 've you got love 
011116.xml 100553	what is it 
011116.xml 100554	have you been shopping 
020904.xml 100555	eh 
020904.xml 100556	there it is 
020904.xml 100557	oh 
020904.xml 100558	is it a boy or a girl 
020904.xml 100559	a boy 
020904.xml 100560	and what 's he called 
020904.xml 100561	has he #got a name 
020904.xml 100562	no 
020904.xml 100563	#that 's okay 
020904.xml 100564	Kate 
020904.xml 100565	#that 's nice 
020904.xml 100566	mhm 
020904.xml 100567	yes 
020904.xml 100568	she 's your friend is n't she 
020904.xml 100569	oh you 're getting fatter and fatter are n't you 
020904.xml 100570	oh dear 
020904.xml 100571	so when 's your baby going to be born Liz 
020904.xml 100572	Thursday 
020904.xml 100573	Friday 
020904.xml 100574	you 've not #got long to wait then eh 
020904.xml 100575	are you getting tired sometimes 
020904.xml 100576	yeah 
020904.xml 100577	he is is he 
020904.xml 100578	there he is 
020904.xml 100579	hello Liz 's baby 
020904.xml 100580	yeah 
020904.xml 100581	a strawberry 
020904.xml 100582	oh yeah 
020904.xml 100583	that #that #bit of play might have #got a bit #dry sweetheart because I did n't know it was in there 
020904.xml 100584	has it got dry 
020904.xml 100585	I did n't know it was in there so I did n't put it away did I 
020904.xml 100586	mhm 
020904.xml 100587	yeah 
020904.xml 100588	you 'll hafta use that one wo n't willn't you 
020904.xml 100589	bless you love 
020904.xml 100590	no 
020904.xml 100591	#that #bit okay is it 
020904.xml 100592	yeah 
020904.xml 100593	can you #manage #that 
020904.xml 100594	mhm 
020904.xml 100595	right 
020904.xml 100596	put it in like that 
020904.xml 100597	#those four holes there 
020904.xml 100598	and now you can squeeze it together ca n't you 
020904.xml 100599	yeah but it you 're gon na going to make a strawberry now 
020904.xml 100600	do you wanna make a nana 
020904.xml 100601	is it the nana you wanna make 
020904.xml 100602	oh right 
020904.xml 100603	well let 's just er just #make #this #into a #bit of a 
020904.xml 100604	oh excuse me 
020904.xml 100605	a lump 
020904.xml 100606	#that 's right 
020904.xml 100607	you hafta move it along do n't you 
020904.xml 100608	#that 's it 
020904.xml 100609	now close it 
020904.xml 100610	squeeze it and squeeze it 
020904.xml 100611	yeah 
020904.xml 100612	can you squeeze it 
020904.xml 100613	oh tight tight 
020904.xml 100614	oh 
020904.xml 100615	think #that will have #done it 
020904.xml 100616	yeah 
020904.xml 100617	has it 
020904.xml 100618	yeah 
020904.xml 100619	look 
020904.xml 100620	there 's your banana 
020904.xml 100621	yeah 
020904.xml 100622	#that 's it 
020904.xml 100623	just #take your time 
020904.xml 100624	and those four holes hafta #go #on those four dots there 
020904.xml 100625	yeah 
020904.xml 100626	#there you #go 
020904.xml 100627	oh that 's a good strawberry is n't it 
020904.xml 100628	whoops 
020904.xml 100629	yeah 
020904.xml 100630	is there one of #those with an aeroplane in 
020904.xml 100631	bring it here then and we 'll find it 
020904.xml 100632	can you #manage 
020904.xml 100633	oh excuse me 
020904.xml 100634	is it heavy 
020904.xml 100635	oh dear 
020904.xml 100636	are you_all right there 
020904.xml 100637	right then 
020904.xml 100638	let 's #have a look 
020904.xml 100639	now you 're saying there 's one of #these with an aeroplane is there 
020904.xml 100640	I do n't know why they are so stiff in 
020904.xml 100641	oh there you are 
020904.xml 100642	there it is on the orange one 
020904.xml 100643	#that 's okay sweetheart 
020904.xml 100644	and you 've left have you left the purple #bit over there now 
020904.xml 100645	have you 
020904.xml 100646	because it 's not here 
020904.xml 100647	did you take it over there with you 
020904.xml 100648	yes you did 
020904.xml 100649	it 's by your table love 
020904.xml 100650	I can see it on the floor by your table 
020904.xml 100651	right 
020904.xml 100652	so if you wanna do the aeroplane how do you put it in here 
020904.xml 100653	#that 's right 
020904.xml 100654	and you #get #those dots over #those #those holes over #those dots do n't you 
020904.xml 100655	put it on top of #those four little dots 
020904.xml 100656	like that yeah 
020904.xml 100657	and put the play in the middle 
020904.xml 100658	oh 
020904.xml 100659	now the #bit where you squeeze is n't it 
020904.xml 100660	yeah 
020904.xml 100661	are you going to make an aeroplane 
020904.xml 100662	yes it is 
020904.xml 100663	mhm 
020904.xml 100664	yeah 
020904.xml 100665	oh it 's #stuck in has n't it 
020904.xml 100666	oh 
020904.xml 100667	oh dear 
020904.xml 100668	it 's #stuck in there 
020904.xml 100669	I tell you what we might hafta do is knock it out 
020904.xml 100670	oh look 
020904.xml 100671	that 's a good aeroplane anyway 
020904.xml 100672	brumm 
020904.xml 100673	we need some more play love 
020904.xml 100674	#this is n't enough to do anything else 
020904.xml 100675	do you wanna get another piece off the table 
020904.xml 100676	shall I put it in a ball 
020904.xml 100677	so it 'll #go in properly yeah 
020904.xml 100678	what 're you making next 
020904.xml 100679	a car 
020904.xml 100680	right 
020904.xml 100681	see if you can put it in so you can do the car 
020904.xml 100682	other way up darling 
020904.xml 100683	#that 's it 
020904.xml 100684	now see if you can get #those holes over the little sticky up bits 
020904.xml 100685	can you see the sticky up bits there 
020904.xml 100686	wiggle it around 
020904.xml 100687	see like that 
020904.xml 100688	so it clicks #on 
020904.xml 100689	yeah 
020904.xml 100690	right 
020904.xml 100691	#go #on 
020904.xml 100692	yeah 
020904.xml 100693	oh that 's a smashing car that 
020904.xml 100694	look at that 
020904.xml 100695	take these excess bits off 
020904.xml 100696	wow 
020904.xml 100697	oh let 's #have a look 
020904.xml 100698	oh that 's #great 
020904.xml 100699	right okay 
020904.xml 100700	you needta move your stick along do n't you 
020904.xml 100701	see if you can #put it #on the four things 
020904.xml 100702	#that 's it 
020904.xml 100703	whoops 
020904.xml 100704	fell #off then did n't it 
020904.xml 100705	#come #on 
020904.xml 100706	it wo n't willn't #go in the mould if you do it #squashed like #that 
020904.xml 100707	#that 's it 
020904.xml 100708	#that 's it 
020904.xml 100709	yeah 
020904.xml 100710	#give it a good squeeze 
020904.xml 100711	you did yeah 
020904.xml 100712	yeah 
020904.xml 100713	are you squeezing 
020904.xml 100714	oh 
020904.xml 100715	oh 
020904.xml 100716	oh well that 's #got all the extra bits off has n't it 
020904.xml 100717	you 'll have you 'll hafta take the whole thing out and shake it in your hand 
020904.xml 100718	oh 
020904.xml 100719	has it not come out yet 
020904.xml 100720	is it stuck 
020904.xml 100721	let 's shake it from this end 
020904.xml 100722	there it #goes 
020904.xml 100723	oh that 's a good train 
020904.xml 100724	is n't it good 
020904.xml 100725	oh yeah 
020904.xml 100726	a train 
020904.xml 100727	that 's good 
020904.xml 100728	so now we 've got an aeroplane a car and a train 
020904.xml 100729	excuse me 
020904.xml 100730	bless you 
020904.xml 100731	another one out 
020904.xml 100732	the yellow one 
020904.xml 100733	#there you #go 
020904.xml 100734	you 'll needta get some more play wo n't willn't you 
020904.xml 100735	okay 
020904.xml 100736	bring it over here 
020904.xml 100737	we 're doing #these in blue are we 
020904.xml 100738	are you bringing your yellow your yellow thing yellow stick 
020904.xml 100739	a sheep 
020904.xml 100740	oh 
020904.xml 100741	that 's too small that sweetheart 
020904.xml 100742	we wo n't willn't get a sheep out_of that 
020904.xml 100743	here you are 
020904.xml 100744	I 'm doing you a blue one 
020904.xml 100745	do you wanna put the sheep in there then 
020904.xml 100746	put the yellow stick in 
020904.xml 100747	other way up 
020904.xml 100748	and that 's the sheep is n't it 
020904.xml 100749	do you wanna do the sheep first 
020904.xml 100750	do you 
020904.xml 100751	#that 's it 
020904.xml 100752	let 's #get it #on #those four posts 
020904.xml 100753	there 
020904.xml 100754	okay 
020904.xml 100755	yeah 
020904.xml 100756	wow 
020904.xml 100757	a little sheep 
020904.xml 100758	a sheep is it 
020904.xml 100759	oh yeah 
020904.xml 100760	it is love 
020904.xml 100761	yeah 
020904.xml 100762	you 're doing a horse 
020904.xml 100763	#that 's right 
020904.xml 100764	oh well done 
020904.xml 100765	just wiggle it round a bit 
020904.xml 100766	yeah 
020904.xml 100767	yeah 
020904.xml 100768	mhm 
020904.xml 100769	oh he 's nice 
020904.xml 100770	taking those bits off 
020904.xml 100771	ta 
020904.xml 100772	thank_you 
020904.xml 100773	whoops 
020904.xml 100774	what 's that 
020904.xml 100775	oh 
020904.xml 100776	the chicken 
020904.xml 100777	yes 
020904.xml 100778	see if you can get #those four little purple #things through the holes 
020904.xml 100779	yeah 
020904.xml 100780	have you done it 
020904.xml 100781	well done 
020904.xml 100782	put that on there 
020904.xml 100783	okay 
020904.xml 100784	whoops 
020904.xml 100785	mhm 
020904.xml 100786	there he is 
020904.xml 100787	oh yeah 
020904.xml 100788	#that 's #great 
020904.xml 100789	um sort of 
020904.xml 100790	yeah 
020904.xml 100791	we 'll look in my bag a little bit later 
020904.xml 100792	okay 
020904.xml 100793	#in a little while Liz 
020904.xml 100794	a few minutes I think 
020904.xml 100795	dancing 
020904.xml 100796	I 'm doing a ladybird 
020904.xml 100797	yeah 
020904.xml 100798	is she 
020904.xml 100799	yeah 
020904.xml 100800	yeah 
020904.xml 100801	I just did the flower 
020904.xml 100802	no 
020904.xml 100803	I have n't done #that yet 
020904.xml 100804	the butterfly 
020904.xml 100805	did you wanna do the ladybird did you say 
020904.xml 100806	oh you did all #those did n't you 
020904.xml 100807	do you wanna squeeze then for the ladybird 
020904.xml 100808	oh 
020904.xml 100809	there he is 
020904.xml 100810	okay 
020904.xml 100811	oh yeah 
020904.xml 100812	that 's good 
020904.xml 100813	the flower 
020904.xml 100814	right 
020904.xml 100815	well let 's #put some more play #in then 
020904.xml 100816	okay 
020904.xml 100817	oh that 's a good flower is n't it 
020904.xml 100818	it 's #got all the little petals on 
020904.xml 100819	ta 
020904.xml 100820	thank_you 
020904.xml 100821	thank_you love 
020904.xml 100822	oh a little flower 
020904.xml 100823	no thank_you 
020904.xml 100824	I 'm all right 
020904.xml 100825	I 'll have a drink sweetheart 
020904.xml 100826	yes please 
020904.xml 100827	oh yes please 
020904.xml 100828	um yes okay 
020904.xml 100829	thank_you very much 
020904.xml 100830	cup of coffee is it 
020904.xml 100831	okay 
020904.xml 100832	mm 
020904.xml 100833	#that 's nice 
020904.xml 100834	um I could have a bit more yeah 
020904.xml 100835	whoops 
020904.xml 100836	thank_you sweetheart 
020904.xml 100837	oh 
020904.xml 100838	Anna 's birthday cake on the floor 
020904.xml 100839	well wait a minute because there 's things there you 're gon na going to land on is n't there 
020904.xml 100840	you do n't wanna land on #those because they 'll #hurt you 
020904.xml 100841	okay 
020904.xml 100842	okay 
020904.xml 100843	tuck your head in 
020904.xml 100844	right 
020904.xml 100845	stand up 
020904.xml 100846	that 's it and tuck 
020904.xml 100847	stand up on your feet with me 
020904.xml 100848	no Liz 
020904.xml 100849	bring your head up off the floor 
020904.xml 100850	and and stand up 
020904.xml 100851	right 
020904.xml 100852	now you put your head down 
020904.xml 100853	right down 
020904.xml 100854	#that 's it 
020904.xml 100855	right down 
020904.xml 100856	tuck it in like that 
020904.xml 100857	#there we #go 
020904.xml 100858	is #that better 
020904.xml 100859	oh 
020904.xml 100860	right 
020904.xml 100861	tuck it put your head down 
020904.xml 100862	right down 
020904.xml 100863	whee 
020904.xml 100864	yes we are 
020904.xml 100865	okay 
020904.xml 100866	tuck your head down 
020904.xml 100867	right down 
020904.xml 100868	whoo 
020904.xml 100869	I think I 'm gon na going to hafta go to the loo actually Liz 
020904.xml 100870	one more and then I 'll hafta go to the toilet 
020904.xml 100871	okay 
020904.xml 100872	head down 
020904.xml 100873	whee 
020904.xml 100874	I 'll be back #in a minute 
020904.xml 100875	what 's #that for 
020904.xml 100876	have you 
020904.xml 100877	can you #manage it 
020904.xml 100878	what 's inside 
020904.xml 100879	oh all sorts of animals 
020904.xml 100880	oh yeah 
020904.xml 100881	oh I #see 
020904.xml 100882	yeah 
020904.xml 100883	that 's good 
020904.xml 100884	oh yeah 
020904.xml 100885	what is it 
020904.xml 100886	it 's green 
020904.xml 100887	a green pear 
020904.xml 100888	I #see 
020904.xml 100889	yeah 
020904.xml 100890	mhm 
020904.xml 100891	that looks lovely 
020904.xml 100892	a green pear 
020904.xml 100893	what 's that at the top 
020904.xml 100894	that round one 
020904.xml 100895	an orange is it 
020904.xml 100896	a 
020904.xml 100897	mhm 
020904.xml 100898	right 
020904.xml 100899	oh 
020904.xml 100900	usually only #get green and blue #in #those books 
020904.xml 100901	mhm 
020904.xml 100902	they 're purple are they 
020904.xml 100903	is that the grapes 
020904.xml 100904	mhm 
020904.xml 100905	it does yeah 
020904.xml 100906	#those grapes look very nice 
020904.xml 100907	yeah well do you just wanna leave them on the table for now 
